Date,PPI Input Index,Fuel Input Index,Black Metal Input Index,Base Metal Input Index,Chemical Input Index,Wood and Pulp Input Index,Construction and Non-metal Material Input Index,Other Raw Material Input Index,Subsidiary Agricultural Products Input Index,Fabric Raw Material Input Index
2021-05-01,109.856357405318,111.978951622073,125.416560680366,124.730215739009,113.152721219672,105.829339652775,102.868585643255,102.961250781955,106.352766536909,103.143408793149
2021-04-01,107.000477545436,106.169151917827,118.988265128022,119.865146816916,110.491920394387,104.511501022982,100.129168135039,101.901552308508,105.85523602149,102.03785718095
2021-03-01,104.485114373481,101.243173270653,115.033385641089,115.511152000601,106.089151697112,102.647951065382,98.2933571941966,100.999933785808,106.270907422832,101.038064647319
2021-02-01,102.220620602633,98.7582250696774,111.423291496203,109.989921917728,100.336564357931,100.840077341216,98.1412611387516,100.548784612744,105.559760321226,99.6922650516475
2021-01-01,101.017411662681,95.4283882571901,108.939717706657,108.503134306055,99.0410309555092,99.9415206144571,98.4369350087691,100.398836938867,105.561537246732,98.9961458845709
2020-12-01,100.393092332263,100.393092332263,100.393092332263,100.393092332263,100.393092332263,100.393092332263,100.393092332263,100.393092332263,100.393092332263,100.393092332263
2020-11-01,100.393092332263,100.393092332263,100.393092332263,100.393092332263,100.393092332263,100.393092332263,100.393092332263,100.393092332263,100.393092332263,100.393092332263
2020-10-01,100.092813890591,100.092813890591,100.092813890591,100.092813890591,100.092813890591,100.092813890591,100.092813890591,100.092813890591,100.092813890591,100.092813890591
2020-09-01,99.6940377396328,99.6940377396328,99.6940377396328,99.6940377396328,99.6940377396328,99.6940377396328,99.6940377396328,99.6940377396328,99.6940377396328,99.6940377396328
2020-08-01,98.8047945883378,98.8047945883378,98.8047945883378,98.8047945883378,98.8047945883378,98.8047945883378,98.8047945883378,98.8047945883378,98.8047945883378,98.8047945883378
2020-07-01,99.0028001887152,99.0028001887152,99.0028001887152,99.0028001887152,99.0028001887152,99.0028001887152,99.0028001887152,99.0028001887152,99.0028001887152,99.0028001887152
2020-06-01,99.5003016972012,99.5003016972012,99.5003016972012,99.5003016972012,99.5003016972012,99.5003016972012,99.5003016972012,99.5003016972012,99.5003016972012,99.5003016972012
2020-05-01,99.6997010994,99.6997010994,99.6997010994,99.6997010994,99.6997010994,99.6997010994,99.6997010994,99.6997010994,99.6997010994,99.6997010994
2020-04-01,99.5006997,99.5006997,99.5006997,99.5006997,99.5006997,99.5006997,99.5006997,99.5006997,99.5006997,99.5006997
2020-03-01,99.6003,99.6003,99.6003,99.6003,99.6003,99.6003,99.6003,99.6003,99.6003,99.6003
2020-02-01,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7
2020-01-01,100,100,100,100,100,100,100,100,100,100
2019-12-01,100.09674576693,103.248575940587,97.2606495411258,96.4952583626388,101.21684619116,100.752618328281,100.704899460799,99.9468121056035,98.2659097751265,101.011010624803
2019-11-01,101.061123052298,106.320968368125,97.0323366754379,96.5135389564459,103.633480242343,100.826156607687,100.405956162171,100.169952218933,98.7870012699467,101.880003904275
2019-10-01,101.858198965228,108.91938181957,97.9258663825077,96.9422210381681,106.047957859026,100.812722589561,99.9072127217237,100.031413042567,98.0661794145536,102.583184935196
2019-09-01,101.847934736535,109.200844472684,98.0266926985338,97.0104422218726,107.03501971098,100.605016246967,100.154717890449,99.812790557342,96.1420564727435,103.313610729995
2019-08-01,101.491448152739,109.4249191032,99.1590812027286,96.0826722692752,107.450257993229,100.608377439522,99.829715395418,99.0609136216896,93.5107347203515,103.219523354715
2019-07-01,102.038111876305,110.592989732753,100.906741958434,97.8362449638869,108.386857047563,101.120201467534,99.8658164205724,99.0814078562478,92.5049733947928,103.327331663721
2019-06-01,103.161205280621,114.065496593417,100.577029555647,100.415022196748,109.487322999636,102.050166286474,99.932841752593,99.5402448735517,93.0452017123165,103.642197002091
2019-05-01,104.105761769607,116.2557014546,101.172087660141,103.210974751977,110.98253366873,102.884116327658,99.4682155338276,99.7202521347411,93.3637141103924,104.062580639857
2019-04-01,103.768421269419,113.990293839648,100.845135308092,105.182888508862,110.621660806258,102.727732420134,98.5994253018013,99.86009615969,93.2179464120146,103.743808175179
2019-03-01,102.546055318077,108.699829151121,100.071659008303,105.060775267208,109.308653336077,102.438455682356,97.4060637595869,99.9802388464846,92.9249283184401,103.211315042179
2019-02-01,101.373530171602,104.433052344143,99.5873520112843,102.724508008541,107.960886419284,102.555170659372,96.8746287912153,99.940300023289,92.6987209923284,102.891665751542
2019-01-01,100.887953942452,102.264562211063,98.6110865260323,101.817651643913,107.554417210241,102.822220114167,97.5669158735206,100.12034064288,93.2644744688058,102.886162093878
2018-12-01,101.609667144231,105.615118894897,97.7997180050799,100.501469738755,109.30435948655,103.553742633434,97.7644401647754,100.384905192282,92.9104673477084,103.6117833346
2018-11-01,102.933470463149,110.539741006167,98.3038982723708,99.8960550945245,112.279176296923,104.387085991038,97.090711541997,100.528815883267,92.5312603855831,104.371093120517
2018-10-01,103.488287307789,112.95449824882,97.5304631210216,99.7613455876385,114.599136793976,105.234913908901,96.2795432777725,100.481235477819,92.3464942319407,105.113600003998
2018-09-01,103.189098842814,112.527362679485,96.5249115608151,98.7778145475326,115.009305025629,105.614553344645,96.0009847393293,100.347978190204,91.9941969196902,105.324777852362
2018-08-01,102.700935924229,112.282960815916,95.5490996656184,98.5118667179718,114.467767356653,105.534679971185,95.8017386275863,99.8533507543857,91.2515178787252,104.901523405797
2018-07-01,102.42201104356,112.344799658601,95.0341465780122,99.6758839268602,113.954133892279,105.059812197553,95.9116382515729,99.5666839129615,90.4320937818573,104.322102823046
2018-06-01,102.895655746626,113.039977535005,95.6374874869748,102.420765698331,114.420573241856,105.080607168289,95.7188257730363,99.6034705092307,90.8711998410349,103.878007775133
2018-05-01,103.191839366489,113.230329975348,96.3629580085961,103.884309826055,114.657036942741,105.30138888038,95.3067721942751,99.8621027921359,91.3821871050886,103.401678683467
2018-04-01,103.11909553073,112.319199242839,97.0879461760207,105.233384218902,114.061193834659,104.221456153409,94.0423357135752,99.961159692506,91.9304321153486,102.956711504292
