Date,PPI Output Index,PPI Output - Means of Production Index,PPI Output - Means of Subsistence Index
2011-11-01,102.60101099031,104.302930202017,97.2297086125191
2011-10-01,103.327702587583,105.240432711171,97.3098594379653
2011-09-01,104.001167154645,106.095589897226,97.3114050882605
2011-08-01,103.960283077465,106.16430610512,97.0211851955038
2011-07-01,103.8513905918,106.090222909954,96.7675835846973
2011-06-01,103.830498520727,106.075727828165,96.5436903518992
2011-05-01,103.827663322676,106.186486616396,96.4021898830299
2011-04-01,103.501949749064,105.751982796791,96.2048520906613
2011-03-01,102.942787122006,105.136184442113,95.8332885546483
2011-02-01,102.314700983248,104.462160751966,95.4719258236241
2011-01-01,101.474322167629,103.447919244773,95.1959239904251
2010-12-01,100.560390435438,102.435591691197,94.7425999791758
2010-11-01,99.9036134277606,101.659776025358,94.3062159190292
2010-10-01,98.4073357976984,100.038434136094,93.3875810345157
2010-09-01,97.6536780794791,99.0621754409204,93.0319360308418
2010-08-01,96.8874958783453,98.3002834306666,92.5774667896028
2010-07-01,96.6059447365579,97.8692093265256,92.3354805197493
2010-06-01,96.9472441836854,98.3092936312927,92.2979831280107
2010-05-01,97.2169132234795,98.7781270850195,92.1627054331069
2010-04-01,96.9119379672888,98.3739374853873,91.9740459757756
2010-03-01,95.9392237856537,97.1683774880899,91.7943376960233
2010-02-01,95.4428180813883,96.5454350757545,91.7117443070356
2010-01-01,95.1916718270439,96.2306225532773,91.7109094320088
2009-12-01,94.9578757652863,96.003366158573,91.5387439412327
2009-11-01,94.1598618546283,95.0980131200729,91.2935294472693
2009-10-01,93.7212721882842,94.5542855728678,91.0210341467014
2009-09-01,93.6276875162791,94.434866959886,90.7628644203335
2009-08-01,92.8930928843196,93.6193175530158,90.5846054692787
2009-07-01,92.1812449776316,92.5914941594377,90.4363178450042
2009-06-01,91.1158309997043,91.1960052238337,90.4882187529516
2009-05-01,90.7720945130528,90.7887197472606,90.5331094627769
2009-04-01,90.7415149506449,90.6672234888363,90.7041873528359
2009-03-01,90.5941678806928,90.4733496164711,90.7058672885605
2009-02-01,90.5529583314879,90.3983474492083,90.8037072346887
2009-01-01,91.2671829597736,91.2138602400733,91.1639258767483
2008-12-01,93.3705759737328,94.1209472142872,90.8122459734451
2008-11-01,96.1796341722455,97.7369096814727,91.4764824120935
2008-10-01,99.491796378221,101.89039393628,92.3134220554781
2008-09-01,100.674932813203,103.320423369678,92.4265421795656
2008-08-01,100.861121481346,103.675877688833,92.3390473692953
2008-07-01,100.415299539904,102.99387559448,92.5653202098303
2008-06-01,98.8241117133452,100.880536752028,92.5237410561878
2008-05-01,97.8147570183759,99.5490348105928,92.2865539885596
2008-04-01,97.1536562640738,98.6585674524878,92.2728253843702
2008-03-01,96.3767743411626,97.7034013136837,91.9937802115218
2008-02-01,94.8198516560083,95.8625105505921,91.2600072710439
2008-01-01,94.3817817577804,95.4119876988215,91.0728530237246
2007-12-01,94.4090758076166,95.9438809523825,89.7354209223766
2007-11-01,94.2937589923975,95.8204996877183,89.5949876710024
2007-10-01,93.3318915367927,94.605751101467,89.5377517511912
2007-09-01,92.2776652733303,93.2494795755219,89.1287774152031
2007-08-01,91.6086480302869,92.5677479364576,88.7875455473993
2007-07-01,91.286635945367,92.2057973092929,88.4945699902775
2007-06-01,90.8309850306482,91.6262822452574,88.2860124581944
2007-05-01,90.4018087045988,91.1621197899201,87.8083291993906
2007-04-01,89.8738725847121,90.5124472041172,87.5453751274859
2007-03-01,89.237754019595,89.8835338672343,87.1978959350918
2007-02-01,88.9492041801204,89.4239837225673,86.9971470648655
2007-01-01,88.9554964729315,89.5887208439638,87.0677371163715
2006-12-01,89.5721781855945,90.5130952380967,86.5336749492542
2006-11-01,90.146997124663,91.4317745111816,86.3982523346214
2006-10-01,90.4378793961169,91.7611552875529,86.5099050736147
2006-09-01,89.8516701785105,90.9751020248994,86.2814883012615
2006-08-01,89.2871813160691,90.5750958282364,85.7850681617385
2006-07-01,89.1471054153974,90.2209367018521,85.8337245298521
2006-06-01,88.6155951518519,89.3914948734219,86.1326950811653
2006-05-01,87.9395026309326,88.5929249659088,85.7503214837799
2006-04-01,87.3409840473393,87.7909284230041,85.7447356782428
2006-03-01,86.8916786948345,87.3503730488185,85.6560863802473
2006-02-01,86.6951307798444,86.9883110141705,85.37502165345
2006-01-01,86.1137429554032,86.3089796184623,85.528228994471
2005-12-01,86.8789313148347,87.3678525464254,85.2548521667529
2005-11-01,87.6916314442247,88.4253138406012,85.5428240936846
2005-10-01,87.803766403997,88.4018837066984,85.9939414250643
2005-09-01,86.8132079019425,87.1409023227006,85.7668869793852
2005-08-01,86.3512391838193,86.674732849987,85.5284827135977
2005-07-01,86.0493295515419,86.0886800590192,85.8337245298521
2005-06-01,85.6189325138665,85.2972279326545,86.3053056925504
2005-05-01,85.8784205380202,85.679811379022,86.0947002849196
2005-04-01,85.7124475440032,85.566207039965,86.0890920464285
2005-03-01,84.7723694583751,84.3964956993416,85.9138278638389
2005-02-01,84.1700298833441,83.4820643130235,85.7178932263554
2005-01-01,83.5244839528644,82.8301147969887,85.7855857517262
2004-12-01,84.1850109639871,83.5256716505023,85.6832685092994
2004-11-01,84.972511089365,84.6175252063169,85.9726875313413
2004-10-01,84.4266984653818,83.7139050252825,86.4260717839842
2004-09-01,83.0748400975527,82.053580341526,86.1113323086197
2004-08-01,82.0049754832092,80.7779430102395,85.7858402343006
2004-07-01,81.7959406383478,80.3815873566939,86.0057360018559
2004-06-01,81.3868179789606,79.5683096386702,86.5650006946343
2004-05-01,81.0173778660568,79.1865169861571,86.3537615696285
2004-04-01,81.0136555236325,79.3013967006163,86.2616152769825
2004-03-01,80.2768650174006,78.4354049250386,85.7423431774839
2004-02-01,79.8577133618065,77.9477724678091,85.3763876756528
2004-01-01,78.9456370064881,76.8368411845906,85.5289987554598
2003-12-01,78.6041185471401,76.3488771942434,85.2569835913427
2003-11-01,78.6054681677753,76.4385954889945,85.2058350161955
2003-10-01,77.8844081783965,75.5540659072947,84.9813881848419
2003-09-01,76.9211482384747,74.4587843389528,84.6719098413173
2003-08-01,76.7836849093719,74.312735060018,84.4348821203746
2003-07-01,76.8758840585976,74.2898219562791,84.8182800807257
2003-06-01,76.491370280978,73.606206881286,85.0343818218412
2003-05-01,76.6484180378967,73.9369906500067,84.9102866957999
2003-04-01,77.1558624034596,74.6717483056651,84.7363607828905
2003-03-01,77.1892932859622,74.6293101094564,84.8934090866177
2003-02-01,77.1572109775909,74.5198589558404,84.9516295280128
2003-01-01,76.2759777840465,73.4577831592645,85.2731792178064
2002-12-01,76.3146782011069,73.341860897448,85.34232591726
2002-11-01,77.1398117446274,74.4290121606568,85.4622216812393
2002-10-01,76.9608776466368,74.0000645517088,85.9265805711243
2002-09-01,75.859120550764,72.7847354241963,85.7871426963701
2002-08-01,75.7235551374476,72.5710303320488,85.6337546859783
2002-07-01,75.814481320116,72.5486542541788,85.9354408112722
2002-06-01,75.5097436139961,71.9513263746687,86.0671880787866
2002-05-01,75.1455078802908,71.6443707848902,86.0286592662613
2002-04-01,74.47477065971,70.9133412209545,85.7655473511037
2002-03-01,73.7947354550307,69.9431210023021,85.924503124107
2002-02-01,74.1896259399912,70.368138768499,86.0705466342581
2002-01-01,74.4882595547329,70.7685772247249,86.7478934057034
2001-12-01,76.010635658473,72.4006524160395,86.8182359280366
2001-11-01,77.4496101853688,74.2804512581405,87.2063486543258
2001-10-01,77.7382602491281,74.5217165676826,87.5908058828994
2001-09-01,76.9362277391115,73.668760550806,87.3596157804176
2001-08-01,77.0331181459284,73.8260735829591,87.2034161771673
2001-07-01,77.5992644013469,74.4852713081917,87.5106321907049
2001-06-01,77.4458908861498,73.871998331282,88.0032597942603
2001-05-01,77.1514454623109,73.6324468498357,88.0538989419256
2001-04-01,76.857348462033,73.4092559223131,87.7845929898708
2001-03-01,76.8695160989904,73.3156404636291,88.3088418541696
2001-02-01,77.3614451929001,73.838550649002,88.5499450969734
2001-01-01,77.5919370361801,74.3367407822741,88.6992775109441
2000-12-01,79.1777454775761,76.0511054790331,88.6805269949301
2000-11-01,80.4253480637267,77.780577233655,88.8048356968694
2000-10-01,80.225242775158,77.3849600910515,88.8344887250501
2000-09-01,79.2340141494455,76.3406845086072,88.6899652593072
2000-08-01,78.6052225978861,75.4867828046617,88.6213579036253
2000-07-01,78.6213418453363,75.4663336455843,88.5735143630617
2000-06-01,77.9133711128268,74.0200384080982,89.1623706122192
2000-05-01,77.3060575774659,73.5588879618739,89.0332648553343
2000-04-01,76.9342827447778,73.1167887672442,88.8508026213267
2000-03-01,76.7160839311281,72.5897430332961,89.8360547855235
2000-02-01,76.6714025697722,72.5329574155226,89.8072465486545
2000-01-01,76.5206479646747,72.3824155620975,90.1415421859189
1999-12-01,77.0211531883036,72.7066017963988,90.1224867834656
1999-11-01,77.7056503031176,73.516613642396,90.7097402419504
1999-10-01,77.4374930262143,72.9358719048553,91.1122961282565
1999-09-01,76.4069567497063,71.748763635909,91.1510434319704
1999-08-01,75.6546896996017,70.9462244404715,90.4299570445156
1999-07-01,75.2357338232883,70.3976992962541,88.8400344664611
1999-06-01,75.7175618200455,70.1611738465386,90.6121652563203
1999-05-01,75.4205439780155,70.1228674565051,90.6652391602182
1999-04-01,74.9846810377951,69.436646502606,91.0356584234904
1999-03-01,75.2856564584182,69.5304052043066,92.4239246764645
1999-02-01,75.9122797720517,70.3520440499735,92.2045652450252
1999-01-01,76.5206479646747,71.0327925045117,93.4109245449936
1998-12-01,77.6422915204673,72.058079084637,93.9754815260329
1998-11-01,78.5699194167013,73.0055746200556,94.5878417538586
1998-10-01,77.9833766628543,72.5730068705028,94.0271373872616
1998-09-01,78.045921092652,72.4734986221303,95.04801192072
1998-08-01,77.43571105384,71.9535744832368,94.0998512429923
1998-07-01,77.1648552033727,71.8343870369939,91.9669093855705
1998-06-01,78.5451886100057,72.3311070582872,95.0809708880591
1998-05-01,78.0750972857303,72.5158918888367,94.1487426378175
1998-04-01,78.0277638270501,72.104513502187,94.9276938722528
1998-03-01,78.9157824511721,72.9595017883595,96.778978718811
1998-02-01,79.8236380358062,74.2893812565718,96.1465748123308
1998-01-01,80.4633522236327,74.9291060174174,97.7101721181942
1997-12-01,80.7092427447685,76.8209798343679,97.8911265896176
1997-11-01,83.0548831043355,77.8311030064559,99.3569766322044
1997-10-01,82.6971120496864,77.5352637505372,95.7506490705312
1997-09-01,81.4675585518289,77.1815746774551,95.9112128362462
1997-08-01,81.9425513797248,76.5463558332306,98.7406623745984
1997-07-01,81.2261633719712,76.0152243777714,95.7988639433026
1997-06-01,82.5922067402793,76.4599440362444,99.0426780083949
1997-05-01,81.7540285714454,76.6552768380938,96.8608463352031
1997-04-01,81.0257152928869,74.9527167382401,98.3706672251324
1997-03-01,81.524568647905,75.6057013350876,99.3624011486766
1997-02-01,81.9544538355299,76.3508543233009,98.6118716023905
1997-01-01,81.5231532154333,76.1474654648551,98.5975500688135
1996-12-01,81.4422227495141,77.2846879621407,99.3818544057032
1996-11-01,83.5562204268968,78.0652989031654,100.462059284332
1996-10-01,83.4481453579076,78.0818366067847,96.913612419566
1996-09-01,82.2074253802511,77.7256542572559,97.1744810904217
1996-08-01,82.6867319674317,77.1636651544664,99.8388901664292
1996-07-01,81.7164621448403,76.1675594967649,97.2577298916777
1996-06-01,82.923902349678,76.7670120845827,99.4404397674648
1996-05-01,81.6723562152301,76.5022722935068,96.9578041393425
1996-04-01,80.9447705223645,74.7285311448057,98.7657301457153
1996-03-01,81.11897377901,75.0801403526193,99.2631380106659
1996-02-01,81.6279420672609,75.6698258902883,98.9085973945742
1996-01-01,81.4417115039294,75.6933056310687,99.1927063066534
1995-12-01,81.117751742544,76.4438060950947,99.8812607092494
1995-11-01,83.5562204268968,77.5226404202238,101.374429146652
1995-10-01,83.1985497087812,77.4621394908578,97.3028237144236
1995-09-01,81.5549854962809,,
1995-08-01,81.464760559046,,
1995-07-01,80.3505035839138,,
1995-06-01,81.0595330886393,,
1995-05-01,79.5251764510517,,
1995-04-01,78.5871558469559,,
1995-03-01,77.7746632588782,,
1995-02-01,76.2165658891325,,
1995-01-01,75.1307301696765,,
1994-12-01,74.5567571163088,,
1994-11-01,75.2081191961268,,
1994-10-01,73.9542664078056,,
1994-09-01,72.2364796246952,,
1994-08-01,72.1565638255501,,
1994-07-01,70.7933952281178,,
1994-06-01,71.2298181798237,,
1994-05-01,69.8201724767794,,
1994-04-01,67.1111493142236,,
1994-03-01,65.0834002166345,,
1994-02-01,63.4081246997774,,
1994-01-01,62.2458410684975,,
1993-12-01,62.1824496382892,,
1993-11-01,62.7257040835086,,
1993-10-01,62.5670612587187,,
1993-09-01,60.9590545356078,,
1993-08-01,61.0978525195174,,
1993-07-01,58.9453748777001,,
1993-06-01,59.806732308836,,
1993-05-01,58.0866659540594,,
1993-04-01,56.1130010988492,,
1993-03-01,55.2022054424381,,
1993-02-01,54.4275748495944,,
1993-01-01,52.4838457575865,,
1992-12-01,50.9692210149912,,
1992-11-01,51.2046563947009,,
1992-10-01,50.4166488789031,,
1992-09-01,48.9237997878072,,
1992-08-01,48.528874121936,,
1992-07-01,46.8936952089898,,
1992-06-01,47.7308318506273,,
1992-05-01,46.1005285349678,,
1992-04-01,45.8814399827058,,
1992-03-01,45.5088255914576,,
1992-02-01,46.0470176392507,,
1992-01-01,44.5155604390046,,
