时间,CPI(YOY),食品烟酒类CPI(YOY),食品类CPI(YOY),烟酒及用品类CPI(YOY),衣着类CPI(YOY),居住类CPI(YOY),生活用品及服务类CPI(YOY),交通和通信类CPI(YOY),教育文化和娱乐类CPI(YOY),医疗保健类CPI(YOY),其他用品和服务类CPI(YOY),CPI(MOM),食品烟酒类CPI(MOM),食品类CPI(MOM),烟酒及用品类CPI(MOM),衣着类CPI(MOM),居住类CPI(MOM),生活用品及服务类CPI(MOM),交通和通信类CPI(MOM),教育文化和娱乐类CPI(MOM),医疗保健类CPI(MOM),其他用品和服务类CPI(MOM)
2011-12-01,4.1,,9.1,3.9,3.8,2.1,,0.3,,,
2011-11-01,4.2,,8.8,3.8,3.5,3,,0.5,,,
2011-10-01,5.5,,11.9,3.7,3.7,4.4,,0.8,,,
2011-09-01,6.1,,13.4,3.4,3.2,5.1,,1,,,
2011-08-01,6.2,,13.4,2.9,2.9,5.5,,1,,,
2011-07-01,6.5,,14.8,2.8,2.2,5.9,,0.9,,,
2011-06-01,6.4,,14.4,2.7,2.1,6.2,,0.9,,,
2011-05-01,5.5,,11.7,2.6,1.8,6.1,,0.7,,,
2011-04-01,5.3,,11.5,2.4,1.4,6.1,,0.5,,,
2011-03-01,5.4,,11.7,2.1,0.8,6.6,,0.1,,,
2011-02-01,4.9,,11,1.9,0.4,6.1,,-0.3,,,
2011-01-01,4.9,,10.3,1.8,-0.2,6.8,,-0.1,,,
2010-12-01,4.6,,9.6,1.8,0.1,6,,-0.7,,,
2010-11-01,5.1,,11.7,1.6,-0.7,5.8,,-0.7,,,
2010-10-01,4.4,,10.1,1.5,-1.3,4.9,,-0.5,,,
2010-09-01,3.6,,8,1.4,-1.5,4.3,,-0.7,,,
2010-08-01,3.5,,7.5,1.5,-1.2,4.4,,-0.6,,,
2010-07-01,3.3,,6.8,1.6,-0.8,4.8,,-0.7,,,
2010-06-01,2.9,,5.7,1.7,-1,5,,-0.3,,,
2010-05-01,3.1,,6.1,1.7,-1.2,5,,0.1,,,
2010-04-01,2.8,,5.9,1.7,-1.3,4.5,,0,,,
2010-03-01,2.4,,5.2,1.7,-1.1,3.3,,0,,,
2010-02-01,2.7,,6.2,1.6,-1.3,3,,0.1,,,
2010-01-01,1.5,,3.7,1.5,-0.4,2.5,,-0.5,,,
2009-12-01,1.9,,5.3,1.4,-0.8,1.5,,-1.5,,,
2009-11-01,0.6,,3.2,1.3,-1.2,-1.2,,-2.2,,,
2009-10-01,-0.5,,1.6,1.3,-1.6,-3.8,,-2.7,,,
2009-09-01,-0.8,,1.5,1.3,-1.8,-5,,-2.6,,,
2009-08-01,-1.2,,0.5,1.3,-2.2,-5.4,,-2.9,,,
2009-07-01,-1.8,,-1.2,1.2,-2.4,-5.8,,-2.7,,,
2009-06-01,-1.7,,-1.1,1.2,-2.3,-5.7,,-2.4,,,
2009-05-01,-1.4,,-0.6,1.4,-2.3,-4.8,,-2.3,,,
2009-04-01,-1.5,,-1.3,1.6,-2.3,-4,,-2.2,,,
2009-03-01,-1.2,,-0.7,1.8,-2.3,-3.5,,-2.5,,,
2009-02-01,-1.6,,-1.9,2,-2.3,-2.9,,-3,,,
2009-01-01,1,,4.2,2.4,-2.7,-2.3,,-2.5,,,
2008-12-01,1.2,,4.2,2.9,-2.2,-1.4,,-1.4,,,
2008-11-01,2.4,,5.9,3.2,-1.7,1.1,,-0.7,,,
2008-10-01,4,,8.5,3.4,-1.3,4.6,,0,,,
2008-09-01,4.6,,9.7,3.4,-1.2,6.5,,-0.2,,,
2008-08-01,4.9,,10.3,3.3,-1.1,7.1,,-0.2,,,
2008-07-01,6.3,,14.4,3.1,-1.4,7.7,,-0.3,,,
2008-06-01,7.1,,17.3,3.1,-1.5,7.7,,-1.1,,,
2008-05-01,7.7,,19.9,2.8,-1.5,7.1,,-1.6,,,
2008-04-01,8.5,,22.1,2.6,-1.4,6.8,,-1.7,,,
2008-03-01,8.3,,21.4,2.5,-1.2,7,,-1.7,,,
2008-02-01,8.7,,23.3,2.4,-1.4,6.6,,-1.4,,,
2008-01-01,7.1,,18.2,2.1,-1.9,6.1,,-1.1,,,
2007-12-01,6.5,,16.7,1.7,-1.7,5.9,,-1.4,,,
2007-11-01,6.9,,18.2,1.8,-1.4,6,,-1.4,,,
2007-10-01,6.5,,17.6,1.7,-1.3,4.8,,-1.7,,,
2007-09-01,6.2,,16.9,1.7,-1,4.2,,-1.4,,,
2007-08-01,6.5,,18.2,1.7,-0.9,4.3,,-1.3,,,
2007-07-01,5.6,,15.4,1.8,-0.6,4.4,,-1.3,,,
2007-06-01,4.4,,11.3,1.7,-0.3,4.4,,-1.1,,,
2007-05-01,3.4,,8.3,1.7,-0.1,4,,-0.5,,,
2007-04-01,3,,7.1,1.7,-0.2,4.2,,-0.2,,,
2007-03-01,3.3,,7.7,1.8,-0.2,4,,0.1,,,
2007-02-01,2.7,,6,1.8,0.2,3.7,,-0.4,,,
2007-01-01,2.2,,5,1.5,0.5,3.8,,-0.3,,,
2006-12-01,2.8,,6.3,1.5,0.1,4.6,,0.4,,,
2006-11-01,1.9,,3.7,1,0.1,4.2,,0.3,,,
2006-10-01,1.4,,2.2,0.8,-0.2,4.6,,0.1,,,
2006-09-01,1.5,,2.4,0.8,-0.5,5,,0.2,,,
