Date,Gold,DXY,US 10y yield,CN 10y yield,DE 10y yield,SPX,US 2y yield,CN 2y yield,DE 2y yield
2022-09-15,1663.74,109.74,3.449,2.666,1.741,3901.35,3.862,2.029,1.529
2022-09-16,1674.94,109.76,3.455,2.685,1.765,3873.33,3.871,2.06,1.548
2022-09-19,1675.78,109.74,3.494,2.677,1.791,3899.89,3.946,2.063,1.602
2022-09-20,1663.11,110.21,3.569,2.665,1.939,3855.93,3.971,2.058,1.719
2022-09-21,1673.74,110.64,3.534,2.668,1.892,3789.93,4.059,2.043,1.745
2022-09-22,1670.53,111.35,3.71,2.678,1.978,3757.99,4.118,2.035,1.845
2022-09-23,1643.09,113.19,3.687,2.693,2.031,3693.23,4.203,2.05,1.907
2022-09-26,1621.57,114.1,3.928,2.723,2.092,3655.04,4.345,2.103,1.941
2022-09-27,1628.80,114.11,3.949,2.715,2.252,3647.29,4.287,2.113,1.989
2022-09-28,1659.44,112.6,3.737,2.746,2.155,3719.04,4.127,2.13,1.85
2022-09-29,1660.29,112.25,3.782,2.757,2.208,3640.47,4.192,2.137,1.827
2022-09-30,1659.67,112.12,3.829,2.782,2.109,3585.62,4.273,2.195,1.778
2022-10-03,1699.22,111.75,3.643,2.764,1.894,3678.43,4.113,2.115,1.596
2022-10-04,1726.24,110.07,3.635,NA,1.882,3790.93,4.097,NA,1.57
2022-10-05,1715.81,111.07,3.755,NA,2.017,3783.28,4.146,NA,1.657
2022-10-06,1710.85,112.26,3.828,NA,2.086,3744.52,4.256,NA,1.789
2022-10-07,1694.52,112.79,3.888,NA,2.197,3639.66,4.312,NA,1.869
2022-10-10,1667.96,113.14,3.955,2.75,2.327,3612.39,4.314,2.13,1.902
2022-10-11,1665.31,113.22,3.945,2.753,2.308,3588.84,4.314,2.095,1.845
2022-10-12,1672.51,113.32,3.902,2.748,2.346,3577.03,4.295,2.1,1.869
2022-10-13,1665.80,112.36,3.95,2.734,2.3,3669.91,4.466,2.095,1.91
2022-10-14,1641.76,113.31,4.023,2.714,2.361,3583.07,4.496,2.083,1.959
2022-10-17,1649.94,112.04,4.012,2.71,2.271,3677.95,4.45,2.075,1.956
2022-10-18,1651.83,112.13,4.007,2.706,2.278,3719.98,4.431,2.068,1.969
2022-10-19,1628.49,112.98,4.138,2.711,2.369,3695.16,4.561,2.065,2.078
2022-10-20,1627.66,112.88,4.233,2.736,2.394,3665.78,4.612,2.075,2.099
2022-10-21,1656.66,112.01,4.219,2.729,2.437,3752.75,4.483,2.09,2.04
2022-10-24,1648.60,111.99,4.247,2.725,2.344,3797.34,4.509,2.087,2.004
2022-10-25,1652.52,110.95,4.1,2.733,2.17,3859.11,4.473,2.095,1.959
2022-10-26,1664.49,109.7,4.007,2.727,2.115,3830.6,4.418,2.093,1.948
2022-10-27,1662.94,110.59,3.927,2.701,1.978,3807.3,4.282,2.064,1.797
2022-10-28,1641.76,110.75,4.01,2.683,2.086,3901.06,4.414,2.064,1.921
2022-10-31,1633.12,111.53,4.05,2.65,2.15,3871.98,4.486,2.054,1.949
2022-11-01,1647.50,111.48,4.048,2.67,2.124,3856.1,4.551,2.068,1.941
2022-11-02,1634.89,111.35,4.096,2.683,2.135,3759.69,4.611,2.066,1.975
2022-11-03,1629.15,112.93,4.149,2.676,2.251,3719.89,4.718,2.068,2.095
2022-11-04,1680.27,110.88,4.163,2.708,2.289,3770.55,4.658,2.085,2.137
2022-11-07,1674.68,110.12,4.218,2.699,2.325,3806.8,4.728,2.084,2.191
2022-11-08,1712.52,109.64,4.128,2.702,2.272,3828.11,4.657,2.123,2.205
2022-11-09,1706.32,110.55,4.099,2.701,2.177,3748.57,4.582,2.125,2.121
2022-11-10,1754.86,108.21,3.811,2.71,2.003,3956.37,4.33,2.135,1.976
2022-11-11,1770.69,106.29,NA,2.743,2.158,3992.93,NA,NA,NA
2022-11-14,1771.80,106.66,3.863,2.84,2.159,3957.25,4.399,2.275,2.122
2022-11-15,1778.25,106.4,3.777,2.826,2.098,3991.73,4.345,2.366,2.158
2022-11-16,1773.77,106.28,3.69,2.848,2.001,3958.79,4.365,2.395,2.116
2022-11-17,1760.87,106.69,3.769,2.822,2.03,3946.56,4.46,2.363,2.136
2022-11-18,1749.74,106.93,3.829,2.833,2.018,3965.34,4.531,2.355,2.096
2022-11-21,1737.81,107.83,3.84,2.829,1.977,3949.94,4.563,2.323,2.076
2022-11-22,1740.24,107.22,3.758,2.845,1.982,4003.58,4.523,2.32,2.104
2022-11-23,1749.28,106.08,3.689,2.816,1.922,4027.26,4.473,2.285,2.144
2022-11-24,1754.96,105.82,3.661,2.807,1.847,NA,4.44,2.258,2.104
2022-11-25,1756.14,105.96,3.691,2.841,1.969,4026.12,4.467,2.297,2.192
2022-11-28,1740.75,106.68,3.679,2.867,1.992,3963.94,4.444,2.305,2.181
2022-11-29,1749.73,106.82,3.75,2.911,1.913,3957.63,4.481,2.363,2.097
2022-11-30,1768.45,105.95,3.611,2.923,1.944,4080.11,4.329,2.338,2.139
2022-12-01,1802.89,104.73,3.51,2.907,1.823,4076.57,4.236,2.35,2.033
2022-12-02,1797.82,104.54,3.492,2.903,1.855,4071.7,4.284,2.331,2.114
2022-12-05,1768.39,105.29,3.583,2.922,1.884,3998.84,4.396,2.335,2.126
2022-12-06,1770.91,105.58,3.531,2.948,1.796,3941.26,4.366,2.37,2.055
2022-12-07,1786.22,105.1,3.421,2.902,1.783,3933.92,4.264,2.4,2.014
2022-12-08,1789.23,104.77,3.489,2.906,1.82,3963.51,4.314,2.418,2.066
2022-12-09,1796.63,104.81,3.586,2.925,1.923,3934.38,4.342,2.427,2.151
2022-12-12,1781.15,105.13,3.617,2.923,1.935,3990.56,4.382,2.45,2.2
2022-12-13,1810.29,103.98,3.501,2.93,1.908,4019.65,4.214,2.483,2.138
2022-12-14,1807.27,103.77,3.479,2.895,1.938,3995.32,4.216,2.466,2.138
2022-12-15,1776.66,104.56,3.45,2.909,2.092,3895.75,4.24,2.438,2.379
2022-12-16,1792.34,104.7,3.488,2.911,2.159,3852.36,4.182,2.43,2.445
2022-12-19,1787.44,104.72,3.59,2.896,2.201,3817.66,4.264,2.389,2.448
2022-12-20,1817.41,103.96,3.692,2.898,2.301,3821.62,4.266,2.423,2.516
2022-12-21,1814.13,104.16,3.673,2.898,2.303,3878.44,4.223,2.398,2.521
2022-12-22,1792.57,104.43,3.686,2.88,2.367,3822.39,4.28,2.378,2.563
2022-12-23,1797.91,104.31,3.751,2.865,2.391,3844.82,4.327,2.358,2.646
2022-12-26,1797.61,NA,3.743,2.883,2.3885,NA,4.332,2.371,2.605
2022-12-27,1813.93,104.18,3.849,2.905,2.516,3829.25,4.383,2.415,2.679
2022-12-28,1804.09,104.46,3.886,2.893,2.508,3783.22,4.357,2.395,2.674
2022-12-29,1814.89,103.84,3.82,2.882,2.463,3849.28,4.366,2.353,2.662
2022-12-30,1824.40,103.52,3.879,2.884,2.563,3839.5,4.428,2.343,2.731
2023-01-02,NA,NA,3.879,NA,2.443,NA,4.426,NA,2.687
2023-01-03,1839.49,104.52,3.752,2.873,2.376,3824.14,4.38,2.314,2.665
2023-01-04,1854.09,104.25,3.69,2.863,2.268,3852.97,4.356,2.293,2.582
2023-01-05,1833.19,105.04,3.722,2.87,2.307,3808.1,4.464,2.303,2.645
2023-01-06,1865.71,103.88,3.56,2.885,2.21,3895.08,4.258,2.36,2.592
2023-01-09,1871.59,103,3.527,2.903,2.218,3892.09,4.208,2.35,2.599
2023-01-10,1877.27,103.24,3.615,2.92,2.301,3919.25,4.247,2.412,2.649
2023-01-11,1876.38,103.19,3.543,2.917,2.184,3969.61,4.22,2.383,2.628
2023-01-12,1896.86,102.25,3.444,2.917,2.132,3983.17,4.145,2.373,2.568
2023-01-13,1920.21,102.2,3.498,2.933,2.143,3999.09,4.224,2.375,2.577
2023-01-15,NA,NA,NA,NA,2.1625,NA,NA,NA,NA
2023-01-16,1918,102.2,3.529,2.955,2.173,NA,4.241,2.419,2.57
2023-01-17,1908.39,102.39,3.549,2.945,2.085,3990.97,4.205,2.39,2.457
2023-01-18,1903.76,102.36,3.373,2.952,2.011,3928.86,4.085,2.405,2.46
2023-01-19,1931.39,102.06,3.399,2.95,2.05,3898.85,4.128,2.38,2.514
2023-01-20,1926.57,102.01,3.482,2.985,2.169,3972.61,4.177,2.4,2.577
2023-01-22,NA,NA,NA,NA,2.172,NA,NA,NA,NA
2023-01-23,1931.3,102.14,3.521,NA,2.199,4019.81,4.232,NA,2.593
2023-01-24,1937.45,101.92,3.455,NA,2.159,4016.95,4.21,NA,2.55
2023-01-25,1945.93,101.64,3.451,NA,2.16,4016.22,4.133,NA,2.536
2023-01-26,1928.99,101.84,3.506,NA,2.215,4060.43,4.189,NA,2.585
2023-01-27,1927.34,101.93,3.507,NA,2.24,4070.56,4.201,NA,2.584
2023-01-29,NA,NA,NA,2.958,2.238,NA,NA,NA,NA
2023-01-30,1922.52,102.28,3.542,2.94,2.309,4017.77,4.24,2.387,2.68
2023-01-31,1927.88,102.1,3.51,2.928,2.28,4076.6,4.205,2.345,2.649
2023-02-01,1950.42,101.22,3.417,2.935,2.296,4119.21,4.1,2.33,2.669
2023-02-02,1912.37,101.75,3.402,2.938,2.06,4179.76,4.1,2.325,2.479
2023-02-03,1865.53,102.92,3.519,2.926,2.196,4136.48,4.286,2.31,2.543
2023-02-05,NA,NA,NA,NA,2.1815,NA,NA,NA,NA
2023-02-06,1867.36,103.62,3.644,2.909,2.284,4111.08,4.474,2.436,2.603
2023-02-07,1873.81,103.43,3.679,2.901,2.312,4164,4.466,2.45,2.615
2023-02-08,1875.59,103.41,3.615,2.905,2.365,4117.86,4.429,2.45,2.714
2023-02-09,1861.39,103.22,3.664,2.897,2.306,4081.5,4.484,2.438,2.687
2023-02-10,1864.67,103.63,3.743,2.904,2.367,4090.46,4.525,2.443,2.756
2023-02-12,NA,NA,NA,NA,2.3635,NA,NA,NA,NA
2023-02-13,1853.39,103.35,3.704,2.902,2.375,4137.29,4.522,2.451,2.782
2023-02-14,1854.29,103.23,3.753,2.893,2.446,4136.13,4.622,2.441,2.858
2023-02-15,1836.19,103.92,3.803,2.897,2.48,4147.6,4.633,2.46,2.873
2023-02-16,1837.44,103.86,3.863,2.901,2.476,4090.41,4.644,2.458,2.879
2023-02-17,1841.59,103.86,3.817,2.892,2.457,4079.09,4.617,2.468,2.875
2023-02-18,NA,NA,NA,NA,2.4315,NA,NA,NA,NA
2023-02-19,NA,NA,NA,NA,2.4455,NA,NA,NA,NA
2023-02-20,1841.14,103.86,3.851,2.919,2.461,NA,4.664,2.503,2.891
2023-02-21,1834.32,104.18,3.954,2.922,2.536,3997.34,4.729,2.51,2.95
2023-02-22,1825.04,104.58,3.927,2.921,2.513,3991.05,4.697,2.5,2.92
2023-02-23,1822.64,104.6,3.89,2.925,2.47,4012.32,4.704,2.503,2.898
2023-02-24,1810.81,105.21,3.947,2.919,2.53,3970.04,4.814,2.51,3.015
